Brazil,3982000000,4988000000,6208000000,6019000000,3551000000,4548000000,3765000000,2929000000,2874000000,3752000000,5905000000,7501000000,10434000000,13269000000,12897000000,18883000000,24608000000,26008000000,29286000000,29998000000,20356000000,17068000000
France,20699000000,22049000000,17490000000,18819000000,22795000000,26703000000,26749000000,27808000000,32618000000,36029000000,38643000000,39301000000,46051000000,50361000000,45050000000,46704000000,55472000000,50087000000,52448000000,58446000000,47453000000,49024000000
Germany,66527000000,64726000000,59000000000,60253000000,61218000000,57601000000,56529000000,59496000000,73203000000,80624000000,84539000000,85678000000,96192000000,1.06E+11,92829000000,90882000000,99839000000,96233000000,1.03E+11,1.02E+11,85326000000,87423000000
Japan,46966000000,46800000000,41381000000,35334000000,41213000000,42643000000,35526000000,34977000000,36505000000,48175000000,48096000000,37655000000,37258000000,38971000000,34787000000,39306000000,39760000000,40967000000,32244000000,28609000000,23252000000,25783000000
"Korea, Rep.",6947000000,8291000000,8039000000,4027000000,5555000000,7945000000,8349000000,11440000000,11063000000,13507000000,16924000000,20947000000,24431000000,21447000000,16355000000,20788000000,22195000000,22934000000,24459000000,26136000000,27957000000,29143000000
South Africa,2414000000,2322000000,2558000000,2500000000,2717000000,2684000000,2366000000,2251000000,3655000000,4237000000,4812000000,5230000000,6104000000,6905000000,6421000000,8139000000,8397000000,7145000000,6491000000,6314000000,5735000000,5354000000
